demand disruptions,RP_TPP,RT_TPP,AP_TPP,AT_TPP
-100,2,0.444444444,2.857142857,-0.020554721
-99.99,2.0100125,0.446669444,2.871446429,-0.019210403
-99.98,2.02005,0.4489,2.885785714,-0.017859842
-99.97,2.0301125,0.451136111,2.900160714,-0.016503038
-99.96,2.0402,0.453377778,2.914571429,-0.01513999
-99.95,2.0503125,0.455625,2.929017857,-0.013770699
-99.94,2.06045,0.457877778,2.9435,-0.012395165
-99.93,2.0706125,0.460136111,2.958017857,-0.011013386
-99.92,2.0808,0.4624,2.972571429,-0.009625365
-99.91,2.0910125,0.464669444,2.987160714,-0.008231099
-99.9,2.10125,0.466944444,3.001785714,-0.006830591
-99.89,2.1115125,0.469225,3.016446429,-0.005423838
-99.88,2.1218,0.471511111,3.031142857,-0.004010843
-99.87,2.1321125,0.473802778,3.045875,-0.002591603
-99.86,2.14245,0.4761,3.060642857,-0.001166121
-99.85,2.1528125,0.478402778,3.075446429,0.000265606
-99.84,2.1632,0.480711111,3.090285714,0.001703575
-99.83,2.1736125,0.483025,3.105160714,0.003147788
-99.82,2.18405,0.485344444,3.120071429,0.004598245
-99.81,2.1945125,0.487669444,3.135017857,0.006054945
-99.8,2.205,0.49,3.15,0.007517889
-99.79,2.2155125,0.492336111,3.165017857,0.008987076
-99.78,2.22605,0.494677778,3.180071429,0.010462507
-99.77,2.2366125,0.497025,3.195160714,0.011944181
-99.76,2.2472,0.499377778,3.210285714,0.013432099
-99.75,2.2578125,0.501736111,3.225446429,0.01492626
-99.74,2.26845,0.5041,3.240642857,0.016426665
-99.73,2.2791125,0.506469444,3.255875,0.017933313
-99.72,2.2898,0.508844444,3.271142857,0.019446204
-99.71,2.3005125,0.511225,3.286446429,0.02096534
-99.7,2.31125,0.513611111,3.301785714,0.022490718
-99.69,2.3220125,0.516002778,3.317160714,0.02402234
-99.68,2.3328,0.5184,3.332571429,0.025560206
-99.67,2.3436125,0.520802778,3.348017857,0.027104315
-99.66,2.35445,0.523211111,3.3635,0.028654668
-99.65,2.3653125,0.525625,3.379017857,0.030211264
-99.64,2.3762,0.528044444,3.394571429,0.031774104
-99.63,2.3871125,0.530469444,3.410160714,0.033343187
-99.62,2.39805,0.5329,3.425785714,0.034918513
-99.61,2.4090125,0.535336111,3.441446429,0.036500084
-99.6,2.42,0.537777778,3.457142857,0.038087897
-99.59,2.4310125,0.540225,3.472875,0.039681954
-99.58,2.44205,0.542677778,3.488642857,0.041282255
-99.57,2.4531125,0.545136111,3.504446429,0.042888799
-99.56,2.4642,0.5476,3.520285714,0.044501587
-99.55,2.4753125,0.550069444,3.536160714,0.046120618
-99.54,2.48645,0.552544444,3.552071429,0.047745892
-99.53,2.4976125,0.555025,3.568017857,0.04937741
-99.52,2.5088,0.557511111,3.584,0.051015172
-99.51,2.5200125,0.560002778,3.600017857,0.052659177
-99.5,2.53125,0.5625,3.616071429,0.054309426
-99.49,2.5425125,0.565002778,3.632160714,0.055965918
-99.48,2.5538,0.567511111,3.648285714,0.057628653
-99.47,2.5651125,0.570025,3.664446429,0.059297632
-99.46,2.57645,0.572544444,3.680642857,0.060972855
-99.45,2.5878125,0.575069444,3.696875,0.062654321
-99.44,2.5992,0.5776,3.713142857,0.064342031
-99.43,2.6106125,0.580136111,3.729446429,0.066035984
-99.42,2.62205,0.582677778,3.745785714,0.06773618
-99.41,2.6335125,0.585225,3.762160714,0.06944262
-99.4,2.645,0.587777778,3.778571429,0.071155304
-99.39,2.6565125,0.590336111,3.795017857,0.072874231
-99.38,2.66805,0.5929,3.8115,0.074599401
-99.37,2.6796125,0.595469444,3.828017857,0.076330815
-99.36,2.6912,0.598044444,3.844571429,0.078068473
-99.35,2.7028125,0.600625,3.861160714,0.079812374
-99.34,2.71445,0.603211111,3.877785714,0.081562518
-99.33,2.7261125,0.605802778,3.894446429,0.083318906
-99.32,2.7378,0.6084,3.911142857,0.085081538
-99.31,2.7495125,0.611002778,3.927875,0.086850413
-99.3,2.76125,0.613611111,3.944642857,0.088625532
-99.29,2.7730125,0.616225,3.961446429,0.090406894
-99.28,2.7848,0.618844444,3.978285714,0.092194499
-99.27,2.7966125,0.621469444,3.995160714,0.093988348
-99.26,2.80845,0.6241,4.012071429,0.095788441
-99.25,2.8203125,0.626736111,4.029017857,0.097594777
-99.24,2.8322,0.629377778,4.046,0.099407356
-99.23,2.8441125,0.632025,4.063017857,0.101226179
-99.22,2.85605,0.634677778,4.080071429,0.103051245
-99.21,2.8680125,0.637336111,4.097160714,0.104882555
-99.2,2.88,0.64,4.114285714,0.106720109
-99.19,2.8920125,0.642669444,4.131446429,0.108563906
-99.18,2.90405,0.645344444,4.148642857,0.110413946
-99.17,2.9161125,0.648025,4.165875,0.11227023
-99.16,2.9282,0.650711111,4.183142857,0.114132758
-99.15,2.9403125,0.653402778,4.200446429,0.116001529
-99.14,2.95245,0.6561,4.217785714,0.117876543
-99.13,2.9646125,0.658802778,4.235160714,0.119757801
-99.12,2.9768,0.661511111,4.252571429,0.121645303
-99.11,2.9890125,0.664225,4.270017857,0.123539048
-99.1,3.00125,0.666944444,4.2875,0.125439036
-99.09,3.0135125,0.669669444,4.305017857,0.127345268
-99.08,3.0258,0.6724,4.322571429,0.129257743
-99.07,3.0381125,0.675136111,4.340160714,0.131176462
-99.06,3.05045,0.677877778,4.357785714,0.133101425
-99.05,3.0628125,0.680625,4.375446429,0.135032631
-99.04,3.0752,0.683377778,4.393142857,0.13697008
-99.03,3.0876125,0.686136111,4.410875,0.138913773
-99.02,3.10005,0.6889,4.428642857,0.140863709
-99.01,3.1125125,0.691669444,4.446446429,0.142819889
-99,3.125,0.694444444,4.464285714,0.144782313
-98.99,3.1375125,0.697225,4.482160714,0.14675098
-98.98,3.15005,0.700011111,4.500071429,0.14872589
-98.97,3.1626125,0.702802778,4.518017857,0.150707044
-98.96,3.1752,0.7056,4.536,0.152694441
-98.95,3.1878125,0.708402778,4.554017857,0.154688082
-98.94,3.20045,0.711211111,4.572071429,0.156687966
-98.93,3.2131125,0.714025,4.590160714,0.158694094
-98.92,3.2258,0.716844444,4.608285714,0.160706466
-98.91,3.2385125,0.719669444,4.626446429,0.162725081
-98.9,3.25125,0.7225,4.644642857,0.164749939
-98.89,3.2640125,0.725336111,4.662875,0.166781041
-98.88,3.2768,0.728177778,4.681142857,0.168818386
-98.87,3.2896125,0.731025,4.699446429,0.170861975
-98.86,3.30245,0.733877778,4.717785714,0.172911807
-98.85,3.3153125,0.736736111,4.736160714,0.174967883
-98.84,3.3282,0.7396,4.754571429,0.177030203
-98.83,3.3411125,0.742469444,4.773017857,0.179098765
-98.82,3.35405,0.745344444,4.7915,0.181173572
-98.81,3.3670125,0.748225,4.810017857,0.183254622
-98.8,3.38,0.751111111,4.828571429,0.185341915
-98.79,3.3930125,0.754002778,4.847160714,0.187435452
-98.78,3.40605,0.7569,4.865785714,0.189535232
-98.77,3.4191125,0.759802778,4.884446429,0.191641256
-98.76,3.4322,0.762711111,4.903142857,0.193753523
-98.75,3.4453125,0.765625,4.921875,0.195872034
-98.74,3.45845,0.768544444,4.940642857,0.197996788
-98.73,3.4716125,0.771469444,4.959446429,0.200127786
-98.72,3.4848,0.7744,4.978285714,0.202265027
-98.71,3.4980125,0.777336111,4.997160714,0.204408512
-98.7,3.51125,0.780277778,5.016071429,0.206558241
-98.69,3.5245125,0.783225,5.035017857,0.208714212
-98.68,3.5378,0.786177778,5.054,0.210876428
-98.67,3.5511125,0.789136111,5.073017857,0.213044886
-98.66,3.56445,0.7921,5.092071429,0.215219589
-98.65,3.5778125,0.795069444,5.111160714,0.217400534
-98.64,3.5912,0.798044444,5.130285714,0.219587724
-98.63,3.6046125,0.801025,5.149446429,0.221781156
-98.62,3.61805,0.804011111,5.168642857,0.223980833
-98.61,3.6315125,0.807002778,5.187875,0.226186752
-98.6,3.645,0.81,5.207142857,0.228398916
-98.59,3.6585125,0.813002778,5.226446429,0.230617322
-98.58,3.67205,0.816011111,5.245785714,0.232841973
-98.57,3.6856125,0.819025,5.265160714,0.235072866
-98.56,3.6992,0.822044444,5.284571429,0.237310004
-98.55,3.7128125,0.825069444,5.304017857,0.239553384
-98.54,3.72645,0.8281,5.3235,0.241803009
-98.53,3.7401125,0.831136111,5.343017857,0.244058876
-98.52,3.7538,0.834177778,5.362571429,0.246320988
-98.51,3.7675125,0.837225,5.382160714,0.248589342
-98.5,3.78125,0.840277778,5.401785714,0.250863941
-98.49,3.7950125,0.843336111,5.421446429,0.253144782
-98.48,3.8088,0.8464,5.441142857,0.255431868
-98.47,3.8226125,0.849469444,5.460875,0.257725196
-98.46,3.83645,0.852544444,5.480642857,0.260024768
-98.45,3.8503125,0.855625,5.500446429,0.262330584
-98.44,3.8642,0.858711111,5.520285714,0.264642643
-98.43,3.8781125,0.861802778,5.540160714,0.266960946
-98.42,3.89205,0.8649,5.560071429,0.269285492
-98.41,3.9060125,0.868002778,5.580017857,0.271616282
-98.4,3.92,0.871111111,5.6,0.273953315
-98.39,3.9340125,0.874225,5.620017857,0.276296592
-98.38,3.94805,0.877344444,5.640071429,0.278646112
