demand disruptions,RP_TPP,RT_TPP,AP_TPP,AT_TPP
-100,10,0.826446281,4,0.216208488
-99.99,10.0500625,0.830583678,4.020025,0.219054136
-99.98,10.10025,0.834731405,4.0401,0.221910376
-99.97,10.1505625,0.838889463,4.060225,0.224777209
-99.96,10.201,0.843057851,4.0804,0.227654635
-99.95,10.2515625,0.84723657,4.100625,0.230542653
-99.94,10.30225,0.85142562,4.1209,0.233441263
-99.93,10.3530625,0.855625,4.141225,0.236350466
-99.92,10.404,0.859834711,4.1616,0.239270261
-99.91,10.4550625,0.864054752,4.182025,0.242200649
-99.9,10.50625,0.868285124,4.2025,0.24514163
-99.89,10.5575625,0.872525826,4.223025,0.248093202
-99.88,10.609,0.87677686,4.2436,0.251055368
-99.87,10.6605625,0.881038223,4.264225,0.254028125
-99.86,10.71225,0.885309917,4.2849,0.257011476
-99.85,10.7640625,0.889591942,4.305625,0.260005418
-99.84,10.816,0.893884298,4.3264,0.263009953
-99.83,10.8680625,0.898186983,4.347225,0.266025081
-99.82,10.92025,0.9025,4.3681,0.269050801
-99.81,10.9725625,0.906823347,4.389025,0.272087114
-99.8,11.025,0.911157025,4.41,0.275134019
-99.79,11.0775625,0.915501033,4.431025,0.278191516
-99.78,11.13025,0.919855372,4.4521,0.281259606
-99.77,11.1830625,0.924220041,4.473225,0.284338289
-99.76,11.236,0.928595041,4.4944,0.287427564
-99.75,11.2890625,0.932980372,4.515625,0.290527431
-99.74,11.34225,0.937376033,4.5369,0.293637891
-99.73,11.3955625,0.941782025,4.558225,0.296758943
-99.72,11.449,0.946198347,4.5796,0.299890588
-99.71,11.5025625,0.950625,4.601025,0.303032825
-99.7,11.55625,0.955061983,4.6225,0.306185655
-99.69,11.6100625,0.959509298,4.644025,0.309349077
-99.68,11.664,0.963966942,4.6656,0.312523092
-99.67,11.7180625,0.968434917,4.687225,0.315707699
-99.66,11.77225,0.972913223,4.7089,0.318902899
-99.65,11.8265625,0.97740186,4.730625,0.322108691
-99.64,11.881,0.981900826,4.7524,0.325325076
-99.63,11.9355625,0.986410124,4.774225,0.328552053
-99.62,11.99025,0.990929752,4.7961,0.331789622
-99.61,12.0450625,0.995459711,4.818025,0.335037784
-99.6,12.1,1,4.84,0.338296539
-99.59,12.1550625,1.00455062,4.862025,0.341565886
-99.58,12.21025,1.00911157,4.8841,0.344845825
-99.57,12.2655625,1.013682851,4.906225,0.348136357
-99.56,12.321,1.018264463,4.9284,0.351437481
-99.55,12.3765625,1.022856405,4.950625,0.354749198
-99.54,12.43225,1.027458678,4.9729,0.358071507
-99.53,12.4880625,1.032071281,4.995225,0.361404409
-99.52,12.544,1.036694215,5.0176,0.364747904
-99.51,12.6000625,1.041327479,5.040025,0.36810199
-99.5,12.65625,1.045971074,5.0625,0.371466669
-99.49,12.7125625,1.050625,5.085025,0.374841941
-99.48,12.769,1.055289256,5.1076,0.378227805
-99.47,12.8255625,1.059963843,5.130225,0.381624262
-99.46,12.88225,1.06464876,5.1529,0.385031311
-99.45,12.9390625,1.069344008,5.175625,0.388448953
