EOLI,RP_TPP,RT_TPP,AP_TPP,AT_TPP,RP_TPS,RT_TPS,AP_TPS,AT_TPS
0,625,156.25,1315.789474,187.5,1250,312.5,623.2686981,562.5
0.01,628.1407035,156.6413586,1319.261214,188.3466062,1256.281407,313.2827173,626.562054,565.0398187
0.02,631.3131313,157.0341895,1322.751323,189.1989594,1262.626263,314.068379,629.8815823,567.5968781
0.03,634.5177665,157.4284999,1326.259947,190.0571115,1269.035533,314.8569998,633.2275609,570.1713346
0.04,637.755102,157.8242974,1329.787234,190.9211155,1275.510204,315.6485947,636.6002716,572.7633464
0.05,641.025641,158.2215893,1333.333333,191.7910245,1282.051282,316.4431787,640,575.3730735
0.06,644.3298969,158.6203834,1336.898396,192.6668926,1288.659794,317.2407667,643.4270354,578.0006777
0.07,647.6683938,159.020687,1340.482574,193.5487742,1295.336788,318.041374,646.881671,580.6463226
0.08,651.0416667,159.4225079,1344.086022,194.4367246,1302.083333,318.8450158,650.364204,583.3101738
0.09,654.4502618,159.8258537,1347.708895,195.3307995,1308.900524,319.6517075,653.8749355,585.9923986
0.1,657.8947368,160.2307323,1351.351351,196.2310555,1315.789474,320.4614645,657.4141709,588.6931666
0.11,661.3756614,160.6371512,1355.01355,197.1375496,1322.751323,321.2743024,660.9822196,591.4126489
0.12,664.893617,161.0451184,1358.695652,198.0503396,1329.787234,322.0902368,664.5793951,594.1510189
0.13,668.4491979,161.4546417,1362.39782,198.969484,1336.898396,322.9092835,668.2060153,596.908452
0.14,672.0430108,161.8657291,1366.120219,199.8950418,1344.086022,323.7314583,671.8624026,599.6851253
0.15,675.6756757,162.2783886,1369.863014,200.8270728,1351.351351,324.5567772,675.5488835,602.4812185
0.16,679.3478261,162.6926281,1373.626374,201.7656376,1358.695652,325.3852561,679.2657892,605.2969129
0.17,683.0601093,163.1084557,1377.410468,202.7107974,1366.120219,326.2169114,683.0134554,608.1323923
0.18,686.8131868,163.5258796,1381.21547,203.6626141,1373.626374,327.0517592,686.7922225,610.9878424
0.19,690.6077348,163.944908,1385.041551,204.6211504,1381.21547,327.8898159,690.6024355,613.8634513
0.2,694.4444444,164.365549,1388.888889,205.5864697,1388.888889,328.731098,694.4444444,616.759409
0.21,698.3240223,164.787811,1392.75766,206.558636,1396.648045,329.575622,698.318604,619.6759081
0.22,702.247191,165.2117023,1396.648045,207.5377144,1404.494382,330.4234046,702.2252739,622.6131433
0.23,706.2146893,165.6372313,1400.560224,208.5237706,1412.429379,331.2744625,706.1648189,625.5713117
0.24,710.2272727,166.0644064,1404.494382,209.5168709,1420.454545,332.1288128,710.1376089,628.5506126
0.25,714.2857143,166.4932362,1408.450704,210.5170826,1428.571429,332.9864724,714.144019,631.5512478
0.26,718.3908046,166.9237292,1412.429379,211.5244738,1436.781609,333.8474584,718.1844298,634.5734214
0.27,722.5433526,167.355894,1416.430595,212.5391134,1445.086705,334.711788,722.2592269,637.6173402
0.28,726.744186,167.7897393,1420.454545,213.5610711,1453.488372,335.5794786,726.3688017,640.6832132
0.29,730.994152,168.2252738,1424.501425,214.5904174,1461.988304,336.4505477,730.513551,643.7712521
0.3,735.2941176,168.6625063,1428.571429,215.6272237,1470.588235,337.3250126,734.6938776,646.881671
0.31,739.6449704,169.1014456,1432.664756,216.6715622,1479.289941,338.2028913,738.9101896,650.0146867
0.32,744.047619,169.5421007,1436.781609,217.7235062,1488.095238,339.0842014,743.1629013,653.1705187
0.33,748.502994,169.9844804,1440.92219,218.7831297,1497.005988,339.9689608,747.452433,656.3493891
0.34,753.0120482,170.4285938,1445.086705,219.8505075,1506.024096,340.8571877,751.7792108,659.5515226
0.35,757.5757576,170.87445,1449.275362,220.9257156,1515.151515,341.7489,756.1436673,662.7771467
0.36,762.195122,171.3220581,1453.488372,222.0088306,1524.390244,342.6441161,760.5462412,666.0264919
0.37,766.8711656,171.7714272,1457.725948,223.0999304,1533.742331,343.5428544,764.9873777,669.2997912
