EOLI,Scenario RP,Scenario RT,Scenario AP,Scenario AT
0,0.75,0.4375,0.775623269,0.75
0.01,0.75,0.436091109,0.774437661,0.748607506
0.02,0.75,0.434676918,0.77324263,0.747204964
0.03,0.75,0.4332574,0.772038078,0.745792278
0.04,0.75,0.431832529,0.770823902,0.744369354
0.05,0.75,0.430402278,0.7696,0.742936097
0.06,0.75,0.42896662,0.768366267,0.741492408
0.07,0.75,0.427525527,0.767122598,0.74003819
0.08,0.75,0.426078972,0.765868887,0.738573343
0.09,0.75,0.424626927,0.764605023,0.737097766
0.1,0.75,0.423169364,0.763330898,0.735611358
0.11,0.75,0.421706256,0.762046401,0.734114016
0.12,0.75,0.420237574,0.760751418,0.732605635
0.13,0.75,0.41876329,0.759445834,0.73108611
0.14,0.75,0.417283375,0.758129535,0.729555335
0.15,0.75,0.415797801,0.756802402,0.728013201
0.16,0.75,0.414306539,0.755464316,0.7264596
0.17,0.75,0.412809559,0.754115156,0.72489442
0.18,0.75,0.411306833,0.7527548,0.72331755
0.19,0.75,0.409798331,0.751383123,0.721728877
0.2,0.75,0.408284024,0.75,0.720128286
0.21,0.75,0.40676388,0.748605303,0.718515661
0.22,0.75,0.405237872,0.747198901,0.716890886
0.23,0.75,0.403705967,0.745780665,0.715253841
0.24,0.75,0.402168137,0.744350461,0.713604405
0.25,0.75,0.40062435,0.742908153,0.711942459
0.26,0.75,0.399074575,0.741453605,0.710267877
0.27,0.75,0.397518782,0.739986678,0.708580537
0.28,0.75,0.395956938,0.738507231,0.706880311
0.29,0.75,0.394389014,0.737015122,0.705167073
0.3,0.75,0.392814977,0.735510204,0.703440692
0.31,0.75,0.391234796,0.733992332,0.701701038
0.32,0.75,0.389648438,0.732461356,0.699947979
0.33,0.75,0.38805587,0.730917124,0.69818138
0.34,0.75,0.386457062,0.729359484,0.696401106
0.35,0.75,0.38485198,0.72778828,0.694607019
0.36,0.75,0.383240591,0.726203353,0.692798981
0.37,0.75,0.381622862,0.724604544,0.69097685
0.38,0.75,0.37999876,0.72299169,0.689140483
0.39,0.75,0.378368251,0.721364625,0.687289737
0.4,0.75,0.376731302,0.719723183,0.685424466
0.41,0.75,0.375087878,0.718067194,0.68354452
0.42,0.75,0.373437946,0.716396485,0.68164975
0.43,0.75,0.371781471,0.714710881,0.679740005
0.44,0.75,0.370118418,0.713010204,0.67781513
0.45,0.75,0.368448752,0.711294275,0.675874969
0.46,0.75,0.366772439,0.70956291,0.673919366
0.47,0.75,0.365089443,0.707815924,0.67194816
0.48,0.75,0.363399728,0.706053128,0.66996119
0.49,0.75,0.361703259,0.704274331,0.667958291
0.5,0.75,0.36,0.702479339,0.665939298
0.51,0.75,0.358289914,0.700667954,0.663904042
0.52,0.75,0.356572965,0.698839976,0.661852354
